Question,Right Answer,Option 1,Option 2,Option 3,Lowest Level Topic,Description
The bending moment is maximum where shear force,changes sign,minimum,maximum,equal,Analysis of Beams and frames,
The maximum central deflection for a simply supported Beam loaded with UDL is,5WL^4/384EI,5WL^3/384EI,5WL^2/384EI,WL^4/384EI,Analysis of Beams and frames,
The deflection at free end of cantilever with point load at free end is,PL^3/3EI,PL^2/2EI,5PL^2/384EI,pL^2/48EI,Analysis of Beams and frames,
A three hinged symmetric parabolic arch is hinged at springing and at the crown. The span and rise are 40m and 10m respectively. The left half of the arch is loaded with UDL of 3t/m. The horizontal thrust will be,30t,20t,10t,5t,Arches,
"If the formation level of highway at a uniform gradient for a particular length and ground is also having a longitudinal slope, the earthwork may be calculated by",All of above,mid section method,trapezoidal method,prismoidal method,Area and volume,most accurate is prismoidal method also called as simpson 1/3 rule
The assumptions on which the trapezoidal formula for volume is based on,All of above,the end sections are parallel planes,the mid area of a pyramid is half the average of the ends,the volume of prism model is over estimated hence prismatic correction is applied ,Area and volume,
In the mid section formula,all of above,The mean depth is the average of two consecutive section,the area of mid section is calculated by using the mean depth,the volume of earthwork is calculated by multiplying the mid section area by the distance between two section,Area and volume,
"Calculate volume of the embankment using trapezoidal method if the cross sectional area of 3 section of an embankment at an interval of 30m are 20m^2, 40m^2 and 50m^2",2250,1100,1150,2350,Area and volume,V=(h/2)(A1+2(A2+.....+A(n-1))+An
"If B is width of formation, D is the height of embankment side slope s:1 for a highway with no transverse slope, the area of cross section is",BD+SD^2,BD+SD,BD-SD,BD-SD^2,Area and volume,
The formula for calculating the quantity of earthwork using prismoidal method is,(first area+last area+4*even areas+2*odd areas)*h/3,(first area+last area+4*even areas+2*odd areas)*h/6,(first area+last area+4*even areas+2*odd areas)*2h/3,(first area+last area+2*even areas+4*odd areas)*h/3,Area and volume,
"Using prismoidal method, what is the volume of earthwork required for 10m deep pit if top and bottom dimensions are 4m x8m and 8mx16m respectively",800,678.34,746.67,193.33,Area and volume,"For prismoidal formula, we need at least 3 areas"
What is the volume of earthwork in embankment of 10m long and 7m wide and 3m height with side slipe 2 :1,390 cubic metres,70 cubic metres,150 cubic metres,280 cubic metres,Area and volume,
The measurements of depth below water surface is called,sounding,depression,negative elevation,underground depth,Area and volume,
"In geodetic surveying, highest value of coefficient of refraction occurs during",early morning,in evening,around noon,in afternoon,Area and volume,
Degree of curve means central angle of the curve subtended by,an arc of 30m length,a chord of 50m length,a chord of 30m length,an arc of 50m length,Area and volume,
Subtense bar is an instrument used for,measurement of horizontal distance in undulated area,measurement of horizontal distance in plane area,measurement of angles,levelling,Area and volume,
"When locating a number of points on a given gradient during preliminary survey of hill road, the instrument most suitable is",Ceylon ghat tracer,hand level,abney hand level,tangent clinometer,Area and volume,
Sextant is used to measure,horizontal and vertical angle,distance,Inclined Angle,Any one of above,Area and volume,
The instrument having common graduated disc for measuring horizontal and vertical angles is known as,Sextant,Prismatic compass,optical theodolite,none of above,Area and volume,
"The instrument used for enlarging, reducing or reproducting the plan is known as",pantograph,planimeter,cardiograph,hand level,Area and volume,
The instrument used for measuring area of regular or irregular area is known as,planimeter,pantograph,cardiograph,hand level,Area and volume,
An abney level is very useful for,All of the given,measuring vertical angles,tracing grade contour,taking cross sectional level in hilly area,Area and volume,
Tellurometer is an istrument used for,measurement fo distance,measurement of tides,measurement of angles,measurement of time,Area and volume,
Tangent clinometer is very useful when,Plane table surveying when contouring is done,Plane table survyeing when three point problem has to be solved,compass survey,chain survey,Area and volume,
One hectare is equal to,0.01 sq. km,0.001 sq. km,0.0001 sq. km,1 sq. km,Area and volume,
The algebraic sum of moment of the forces on either side of the section of a loaded beam is known as,bending moment,shear force,deformed force,all of the above,Beam and frame,
The Shear force on a beam and the displacement are related as,V=EI x d^3y/dx^3,V=EI x d^2y/dx^3,V=EI x d^2y/dx^2,V=EI x d^4y/dx^3,Beam and frame,
The Shear force and bending moment are related as,V=dM/dZ,V=M/Z,V=MY/I,none of the above,Beam and frame,
Bitumen felt is,all of the above,used as a damp proofing material,used as water proofing material,made from bitumen and hession fibre,bitumen,
Clay and silt content in good brick earth must be at least,50%,20%,30%,70%,Bricks,
Crushing strength of first class brick should not be less than,10.5N/mm^2,7.5 N/mm^2,3.5N/mm^2,5N/mm^2,Bricks,
King closers are related to,Brick Masonry,Doors and windows,king post truss,Queen post truss,Bricks,
Clay bricks are made of earth having,35-70% silica and 10-20% alumina,nearly equal proportion of silica and alumina,"nearly equal proportion of alumina,silica and lime",10-20% silica and 35-70% alumina,Bricks,
The plasticity is provided by,Alumina,Lime ,Magnesia,Silica,Bricks,
